Nr.;Authors;Title;Year;Journal;doi;Abstract;"Is this a conceptual paper? (e.g., discussion creation of IACS data, use of IACS data, etc.) --> if exclusively yes, other variables may not apply; leave those empty!";year(s) of data use;Combination with other datasets?;Importance of IACS data use;Dataset (likely) used;Research question(s), aim(s): verbatim;Methodological purpose of IACS data: verbatim;Content-related purpose of IACS data: verbatim;Indicator(s) generated?;"Raw information from IACS used: geometrical info (plot shape; size; edges) -- separate multiple entries by "";""";Raw info used: location;Raw info used: time;"Raw info used: thematic, other (crop type; land use type; LSE; organic; AES) -- separate multiple entries by "";""";Spatial unit(s) of analysis;Spatial unit(s) of analysis: details, comments;Discussion of IACS dataset: verbatim;comment;
;['Giordano, Sebastien', 'Bailly, Simon', 'Landrieu, Loic', 'Chehata, Nesrine'];Improved Crop Classification with Rotation Knowledge using Sentinel-1. and-2 Time Series;2020;Photogrammetric Engineering & Remote Sensing;10.14358/PERS.86.7.431;Leveraging the recent availability of accurate, frequent, and multimodal (radar and optical) Sentinel-1 and -2 acquisitions, this paper investigates the automation of land parcel identification system (LPE) crop type classification. Our approach allows for the automatic integration of temporal knowledge, i.e., crop rotations using existing parcel-based land cover databases and multi-modal Sentinel-1 and -2 time series. The temporal evolution of crop types was modeled with a linearchain conditional random field, trained with time series of multi-modal (radar and optical) satellite acquisitions and associated LPIS. Our model was tested on two study areas in France (>= 1250 km(2)) which show different crop types, various parcel sizes, and agricultural practices: .the Seine et Marne and the Alpes de Haute-Provence classified accordingly to a fine national 25-class nomenclature. We first trained a Random Forest classifier without temporal structure to achieve 89.0% overall accuracy in Seine et Marne (10 classes) and 73% in Alpes de Haute-Provence (14 classes). We then demonstrated experimentally that taking into account the temporal structure of crop rotation with our model resulted in an increase of 3% to +5% in accuracy. This increase was especially important (+12%) for classes which were poorly classified without using the temporal structure. A stark positive impact was also demonstrated on permanent crops, while it was fairly limited or even detrimental for annual crops. PU  - AMER SOC PHOTOGRAMMETRY PI  - BETHESDA PA  - 5410 GROSVENOR LANE SUITE 210, BETHESDA, MD 20814-2160 USA;;2010-2016;yes;major;"GSAA (agricultural parcel; plot)";crop type prediction using LPIS and crop rotation knowledge learned from Sentinel-1 and -2 time series. (1) What are the respective contributions of optical and radar time series for crop type prediction? (2) How to combine crop rotation and satellite observations into a unified classification pipeline? (3) What is the contribution of the temporal structure with regard to observation-based classification?;model training and validation ;"[improve] Crop type prediction […]
 using prior knowledge on crop rotations per parcel ";no;;yes;yes;crop type;plot/block;;"""Since 2015, the declarations have been made at the parcel scale, which simplifies machine-learning based approaches to crop prediction.""";;
;['Trubins, Renats'];Land-use change in southern Sweden: Before and after decoupling;2013;Land Use Policy;https://doi.org/10.1016/j.landusepol.2012.12.018;Rural land-use in the European Union (EU) is strongly influenced by the Common Agricultural Policy (CAP) because it directly affects the relative profitability of different land-use options. Since 2000, the CAP has been heavily reformed. In particular, in Sweden, the 2003 CAP reform was followed by substantial shifts in agricultural land allocation. However, this land-use change has barely been studied empirically beyond the net changes of land-use categories. In order to better understand the transformation of the land-use system, all transitions between land-use categories and changes within existing categories need to be considered. This article presents an analysis of agricultural land-use change between 2002 and 2010 in a landscape in southern Sweden. The inter-category land transitions were identified and quantified by using a spatially explicit field-level resolution dataset. The intra-category change of utilization intensity was assessed for grasslands by using standard yields and forage consumption estimates. Substantial shifts in chains of connected inter-category land transitions were found between cereals, temporary grasses, permanent pastures and fallow lands. The grassland utilization analysis showed a growing gap between grassland area and forage consumption. These results indicate concentration of agricultural production to better quality land and a growing number of land-idling farms in the region. The CAP single farm payment scheme is discussed in the light of these findings.;;2002, 2006, 2010;no;major;"GSAA (agricultural parcel; plot)";"the aim of this study was to uncover the nature of the
actual land-use change by analyzing the transitions between land
categories [in southern Sweden as a reaction to CAP reformations since 2000]";change analysis over time, LU categories as input for transition matrices between two points in time ;analyze[s] agricultural land-use transitions over the last decade in a forest-rich landscape in southern Sweden in response to CAP reformations => assign crops and grasslands into land-use categories, analyze changes in land-use categories;no;size;yes;yes;crop type;plot/block;"""A block can include more than one field with different
crops or uses. However, in the region covered by this study, this is
rarely the case. Typically, the blocks are rather small with a uniform
land-use or crop type. Therefore, all analysis was done at block level.
In those cases where there was more than one field within the block,
the whole block was assigned the land-use of the largest field.""";"""Thus, it is the most complete representation of the present arable land in Sweden (Johnsson, 2008). The uncertainty is much higher with respect to pastures. There are other data sources besides the IACS
that also provide estimates of the area of pastures. The statistical sample-plot based National Forest Inventory (NFI) gives a lower estimate of the pasture area at national level [...]. In any case, it is clear that there is more
land that could be classified as pasture than what is delineated in the IACS. Another limitation of the IACS data is that land-use records are only available for those blocks that have been included in farmers’
support applications. For blocks that have never been included in support applications, there are no land-use records at any point in time. Yet, despite the shortcomings, the IACS data are unique in providing time series of field-level resolution agricultural land-use data for the entire region.""";"not so sure if maybe they combined the Agriwise, a
web-based collection of enterprise budget calculation models";they did not really combine both data sets I would say
;['Gaetano, Raffaele', 'Ienco, Dino', 'Ose, Kenji', 'Cresson, Remi'];A Two-Branch CNN Architecture for Land Cover Classification of PAN and MS Imagery;2018;Remote Sensing;https://www.mdpi.com/2072-4292/10/11/1746;The use of Very High Spatial Resolution (VHSR) imagery in remote sensing applications is nowadays a current practice whenever fine-scale monitoring of the earthâ€™s surface is concerned. VHSR Land Cover classification, in particular, is currently a well-established tool to support decisions in several domains, including urban monitoring, agriculture, biodiversity, and environmental assessment. Additionally, land cover classification can be employed to annotate VHSR imagery with the aim of retrieving spatial statistics or areas with similar land cover. Modern VHSR sensors provide data at multiple spatial and spectral resolutions, most commonly as a couple of a higher-resolution single-band panchromatic (PAN) and a coarser multispectral (MS) imagery. In the typical land cover classification workflow, the multi-resolution input is preprocessed to generate a single multispectral image at the highest resolution available by means of a pan-sharpening process. Recently, deep learning approaches have shown the advantages of avoiding data preprocessing by letting machine learning algorithms automatically transform input data to best fit the classification task. Following this rationale, we here propose a new deep learning architecture to jointly use PAN and MS imagery for a direct classification without any prior image sharpening or resampling process. Our method, namelyMultiResoLCC, consists of a two-branch end-to-end network which extracts features from each source at their native resolution and lately combine them to perform land cover classification at the PAN resolution. Experiments are carried out on two real-world scenarios over large areas with contrasted land cover characteristics. The experimental results underline the quality of our method while the characteristics of the proposed scenarios underline the applicability and the generality of our strategy in operational settings.;;2014, 2016;yes;major;"GSAA (agricultural parcel; plot)";"In particular, the overall contributions of this paper can be summarized as follows:
 provide a Deep Learning architecture for the supervised classification of MS and PAN sources
from VHSR imagery which avoids any prior error prone preprocessing such as pan-sharpening;
 leverage Convolutional Neural Networks (CNNs) to exploit spatial and spectral information at
both available spatial resolutions and evaluate their ability as feature extractors;
 deliver an end-to-end solution for Land Cover classification of VHSR images which is suitable
for real-world scenarios characterized by large areas as well as spatially sparse and limited
reference data.";model validation;"build land cover classes for validation of classification algorithms for satellite data, ""The field database constituting the ground truth has been built from various sources: (i) the Registre parcellaire graphique (RPG) reference data of 2014 (RPG is part of the EU Land Parcel Identification System (LPIS) provided by the French Agency for services and payment) [...]""";no;;yes;no;"crop type; land use type";grid cell;1.5 meter pixels;NA;I think they used crop type and land use type from iacs, see table 1 and 2, p. 9;
;['Frick, Annett', 'Tanneberger, Franziska', 'Bellebaum, Jochen'];Model-Based Selection of Areas for the Restoration of Acrocephalus paludicola Habitats in NE Germany;2014;Environmental Management;http://dx.doi.org/10.1007/s00267-014-0234-x;"The global Aquatic Warbler (Acrocephalus paludicola, Vieillot, 1817) population has suffered a major decline due to the large-scale destruction of its natural habitat (fen mires). The species is at risk of extinction, especially in NE Germany/NW Poland. In this study, we developed habitat suitability models based on satellite and environmental data to identify potential areas for habitat restoration on which further surveys and planning should be focused. To create a reliable model, we used all Aquatic Warbler presences in the study area since 1990 as well as additional potentially suitable habitats identified in the field. We combined the presence/absence regression tree algorithm Cubist with the presence-only algorithm Maxent since both commonly outperform other algorithms. To integrate the separate model results, we present a new way to create a metamodel using the initial model results as variables. Additionally, a histogram approach was applied to further reduce the final search area to the most promising sites. Accuracy increased when using both remote sensing and environmental data. It was highest for the integrated metamodel (Cohen's Kappa of 0.4, P &lt; 0.001). The final result of this study supports the selection of the most promising sites for Aquatic Warbler habitat restoration.[PUBLICATION ABSTRACT]";;NA;yes;minor;unclear;Overall, our aim was to identify areas in Brandenburg (NE Germany) that are potentially suitable as Aquatic Warbler habitats and to develop a robust and transferable approach that can also be used in environmental planning and conservation of other small and highly fragmented populations;filter/mask environment/LCLU for the input into the habitat suitability model ;"
IACS data indicating whether present land use is arable or grassland (last update 2009, scale 1:5,000), We selected grassland and natural open areas on organic soil as potentially suitable to develop Aquatic Warbler habitat and masked out all the other areas before modeling.";no;;yes;yes;land use type;habitat and land-use polygons;NA;NA;major or minor? Could have run the model without differentiating between cropland and grassland;I agree on minor
;['SkaloÅ¡, Jan', 'Richter, Pavel', 'Keken, Zden?k'];Changes and trajectories of wetlands in the lowland landscape of the Czech Republic;2017;Ecological Engineering;https://doi.org/10.1016/j.ecoleng.2017.06.064;Wetland biotopes play many roles in the landscape. The primary objective of this study was to analyse historical long-term changes of wetlands in the lowland areas of the Czech Republic, with emphasis on their spatio-temporal changes in the landscape and with stress on the use of different types of information sources. The following research questions were asked: (1) What are the wetland spatio-temporal changes (expressed through the number and size of continuously existing, extinct, and recent wetlands) and wetland change trajectories (expressed by quantifying and localising LULC categories that replaced extinct wetlands as well as categories of LULC at the expense of which wetlands occur) in the lowland landscape of the Czech Republic? (2) What methodological conclusions and recommendations for the investigation of wetland changes in a landscape can be derived from the study? The sources used for the study included historical maps from the Stable Land Registry 1841, a current orthophoto map (2015), the DIBAVOD database, LPIS [Land-Parcel Identification System] database verification, the Czech Land Registry, and field mapping (2015). Three wetland biotope types were examined: swamps and marshes, waterlogged meadows, and waterlogged woody vegetation. Spatial analysis using GIS tools (intersection, symmetrical difference) was performed to analyse the spatio-temporal wetland changes. The total wetland area has decreased dramatically from 5762ha (over 9.5% of the territory included in the study) in 1825â€“1843 to 54ha (0.9%) in 2014. Extinct wetlands predominate (99.1%) in the area, whilst recent and continuous wetlands are nearly identical (0.5% and 0.4%, respectively). A selected sample of 10 cadastral districts was used to examine the error against the DIBAVOD method and find that the error is relatively low (0.13%). The results of this study document fundamental spatio-temporal changes (expressed through change trajectories) of wetland biotopes at the landscape level in the lowland and hilly areas of the Czech Republic. The most frequent change type is wetland loss in favour of arable land (nearly one-half of all wetlands) due to extensive agricultural management. The use of the DIBAVOD method is effective, taking the relatively low error into account. The results of the study substantially contribute to the development of methods for the investigation of spatio-temporal changes in wetlands and other selected biotopes in the context of the landscape.;;2015;yes;minor;unclear;However, there is still a lack of studies concentrating on spatio-temporal transitions of wetland at the landscape level. It is the aim of the present study to fill this gap. The following research questions were asked: •What are the wetland spatio-temporal changes (expressed through the abundance of continuous, extinct and recent wet-lands) and wetland change trajectories (expressed by quantifyingand localising LULC categories that replaced extinct wetlands aswell as categories of LULC, at the expense of which wetlandsoccur) in the lowland and hilly landscape of the Czech Republic? •What methodological conclusions and recommendations for the investigation of wetland changes in a landscape can be drawnfrom the findings?;change analysis over time ;identification of LULC types: differentiate between arable land and grassland in order to track changes/conversions in wetland areas;no;;yes;yes;land use type;study sites;different sizes, ;NA;since they did a manual visual interpretation for the change analysis I would assume they also used plot shape and not only size; minor? They used LPIS to differentiate between grassland and arable land
;"['Ronnenberg, Katrin', 'Ronnenberg  Egbert ; Siebert, Ursula, Katrin ; StrauÃŸ', 'Ronnenberg, Katrin']";Crop diversity loss as primary cause of grey partridge and common pheasant decline in Lower Saxony, Germany;2016;BMC ecology;https://doi.org/10.1186/s12898-016-0093-9;BACKGROUND: The grey partridge (Perdix perdix) and the common pheasant (Phasianus colchicus) are galliform birds typical of arable lands in Central Europe and exhibit a partly dramatic negative population trend. In order to understand general habitat preferences we modelled grey partridge and common pheasant densities over the entire range of Lower Saxony. Spatially explicit developments in bird densities were modelled using spatially explicit trends of crop cultivation. Pheasant and grey partridge densities counted annually by over 8000 hunting district holders over 10Â years in a range of 3.7Â MioÂ ha constitute a unique dataset (wildlife survey of Lower Saxony). Data on main landscape groups, functional groups of agricultural crops (consisting of 9.5 million fields compiled by the Integrated Administration and Control System) and landscape features were aggregated to 420 municipalities. To model linear 8 or 10Â year population trends (for common pheasant and grey partridge respectively) we use rho correlation coefficients of densities, but also rho coefficients of agricultural crops. RESULTS: All models confirm a dramatic decline in population densities. The habitat model for the grey partridge shows avoidance of municipalities with a high proportion of woodland and water areas, but a preference for areas with a high proportion of winter grains and high crop diversity. The trend model confirms these findings with a linear positive effect of diversity on grey partridge population development. Similarly, the pheasant avoids wooded areas but showed some preference for municipalities with open water. The effect of maize was found to be positive at medium densities, but negative at very high proportions. Winter grains, landscape features and high crop diversity are favorable. The positive effect of winter grains and higher crop diversity is also supported by the trend model. CONCLUSIONS: The results show the strong importance of diverse crop cultivation. Most incentives favor the cultivation of specific crops, which results in large areas of monocultures. The results confirm the importance of sustainable agricultural policies.;;2005-2014;yes;major;"GSAA (agricultural parcel; plot)";"In this paper we modelled both the habitat preferences
and spatially explicit trends and its causes for the
grey partridge and the common pheasant. The first aim
is to explain the overall density with landscape traits and
functional crop groups and discuss differences in habitat
preferences. The second approach is aimed at explaining
the negative trends observed over the last 8 and 10 years.
Specifically, we expect negative effects of (1) increasing maize cultivation (2) decreasing proportions of set aside
fields (3) increasing proportions of winter crops, (4) the
general intensification as indicated by declining crop
diversity and increasing field sizes.";model input variable (derive Shannon Index for crop diversity to use as model input variable for habitat modelling and population trend model, + crop types as model input variable + derive mean field size per municipality as model input variable);identify links between crop diversity + field sizes and habitat + population trends of common pheasant and grey partridge;yes;size;no;yes;crop type;municipality;data was provided to researchers without explicit information on location (georeferenced location) due to data privacy reasons;NA;info on location shall I put yes or no? They didn't have the georeferenced location. Dataset used, what shall I put. In the origin it must have been GSSA since they use crop type.;if they did not have georeferenced data it's definitely no
;['Hanson, Helena I', 'Palmu, Erkki', 'Birkhofer, Klaus', 'Smith, Henrik G', 'Hedlund, Katarina'];Agricultural Land Use Determines the Trait Composition of Ground Beetle Communities;2016;PLoS One;http://dx.doi.org/10.1371/journal.pone.0146329;In order to improve biological control of agricultural pests, it is fundamental to understand which factors influence the composition of natural enemies in agricultural landscapes. In this study, we aimed to understand how agricultural land use affects a number of different traits in ground beetle communities to better predict potential consequences of land-use change for ecosystem functioning. We studied ground beetles in fields with different agricultural land use ranging from frequently managed sugar beet fields, winter wheat fields to less intensively managed grasslands. The ground beetles were collected in emergence tents that catch individuals overwintering locally in different life stages and with pitfall traps that catch individuals that could have a local origin or may have dispersed into the field. Community weighted mean values for ground beetle traits such as body size, flight ability and feeding preference were estimated for each land-use type and sampling method. In fields with high land-use intensity the average body length of emerging ground beetle communities was lower than in the grasslands while the average body length of actively moving communities did not differ between the land-use types. The proportion of ground beetles with good flight ability or a carnivorous diet was higher in the crop fields as compared to the grasslands. Our study highlights that increasing management intensity reduces the average body size of emerging ground beetles and the proportion of mixed feeders. Our results also suggest that the dispersal ability of ground beetles enables them to compensate for local management intensities.;;2010;yes;major;"GSAA (agricultural parcel; plot)";we aimed to understand how agricultural land use affects a number of different traits in ground beetle communities to better predict potential consequences of land-use change for ecosystem functioning;"selector variable, grouping variable (? Grouping into grasslands = few management; sugar beet and winterweat = intensively managed), derive metrics";identify links between management intensity of land, land use type and ground beetle trait composition and ground beetle species composition;yes;size;yes;yes;crop type, land use type;plot/block;NA;NA;;
;['Persson, Anna S', 'Smith, Henrik G'];Bumblebee colonies produce larger foragers in complex landscapes;2011;Basic and Applied Ecology;https://doi.org/10.1016/j.baae.2011.10.002;The negative effect of agricultural intensification on bumblebee populations is thought to partly be caused by loss of food plants, for example because of increased field size and concomitant loss of non-crop field borders and their nectar and pollen plants. Earlier studies have focused on how loss of foraging resources affects colony growth and thereby abundance of workers and sexual reproduction. By comparing bumblebees in agricultural landscapes of different complexity in Southern Sweden, we here demonstrate that also the adult size of bumblebee foragers is significantly related to the availability of foraging resources. This effect was independent of both species identity and foraging habitat type. This suggests a shortage of flower resources in landscapes of lower complexity, which may also affect the reproductive success of colonies negatively. Zusammenfassung Es wird angenommen, dass der negative Einfluss der landwirtschaftlichen Intensivierung auf Hummelpopulationen teilweise durch einen Verlust an Nahrungspflanzen hervorgerufen wird, beispielsweise wegen höherer Feldgrößen und dem damit verbundenen Verlust an Feldrändern und ihren Nektar- und Pollenpflanzen. Frühere Untersuchungen haben sich darauf konzentriert, wie der Verlust von Nahrungspflanzen das Koloniewachstum und damit Arbeiterabundanz und sexuelle Reproduktion beeinflusst. Indem wir Hummeln in südschwedischen Agrarlandschaften von unterschiedlicher Komplexität miteinander verglichen, zeigen wir, dass auch die Körpergröße von Hummelarbeiterinnen signifikant mit der Verfügbarkeit von Ressourcen verbunden ist. Dieser Effekt war unabhängig von der Artzugehörigkeit und dem Typ des Nahrungshabitats. Dies legt nahe, dass in Landschaften von geringer Komplexität ein Mangel an Blütenressourcen herrscht, der auch den reproduktiven Erfolg der Kolonien negativ beeinflussen könnte.;;NA;yes;major;"GSAA (agricultural parcel; plot)";"Our aim was to investigate if the amount and spatial segregation
of flower-rich non-crop habitats (i.e. a component
of landscape structure), affects the mean size of bumblebee
workers.";"Calculate indicator; use indicator to group landscapes";Determine landscape complexity;yes;size;yes;no;"crop type; land use type";landscape;;no discussion;almost minor?;
;['Kasper, M', 'Foldal, C', 'Kitzler, B', 'Haas, E', 'Strauss, P', 'Eder, A', 'Zechmeister-Boltenstern, S', 'Amon, B'];N2O emissions and NO3- leaching from two contrasting regions in Austria and influence of soil, crops and climate: a modelling approach;2019;Nutrient Cycling in Agroecosystems;http://dx.doi.org/10.1007/s10705-018-9965-z;"National emission inventories for UN FCCC reporting estimate regional soil nitrous oxide (N2O) fluxes by considering the amount of N input as the only influencing factor for N2O emissions. Our aim was to deepen the understanding of N2O fluxes from agricultural soils, including region specific soil and climate properties into the estimation of emission to find targeted mitigation measures for the reduction of nitrogen losses and GHG emissions. Within this project, N2O emissions and nitrate (NO3&minus;) leaching were modelled under spatially distinct environmental conditions in two agricultural regions in Austria taking into account region specific soil and climatic properties, management practices and crop rotations. The LandscapeDNDC ecosystem model was used to calculate N2O emissions and NO3&minus; leaching reflecting different types of vegetation, management operations and crop rotations. In addition, N input and N fluxes were assessed and N2O emissions were calculated. This approach allowed identifying hot spots of N2O emissions. Results show that certain combinations of soil type, weather conditions, crop and management can lead to high emissions. Mean values ranged from 0.15 to 1.29&#xa0;kg N2O–N&#xa0;ha&minus;1&#xa0;year&minus;1 (Marchfeld) and 0.26 to 0.52&#xa0;kg N2O–N&#xa0;ha&minus;1&#xa0;year&minus;1 (Grieskirchen). Nitrate leaching, which strongly dominated N-losses, often reacted opposite to N2O emissions. Larger quantities of NO3&minus; were lost during years of higher precipitation, especially if winter barley was cultivated on sandy soils. Taking into account the detected hot spots of N2O emissions and NO3&minus; leaching most efficient measures can be addressed to mitigate environmental impacts while maximising crop production.";;NA;no;major;"GSAA (agricultural parcel; plot)";"Within our study the overall aim was to model site
specific N2O emissions and NO3
- leaching losses
from soils considering soil properties, climate, crop
rotation and management, and to identify potential hot
spots and hot moments.";model input variable;"estiamate specific N2O emissions and NO3  from agricultural soils; leaching were modelled under spatially distinct environmental conditions in two agricultural regions in Austria taking into account region specific soil and climatic properties, management practices and crop rotations";no;;no;no;crop type;study region;they compare the results for 2 Austrian study regions;;crop rotations were derived with experts not from IACS data;
;['Falkner, Katharina', 'Mitter, Hermine', 'Moltchanova, Elena', 'Schmid, Erwin'];A zero-inflated Poisson mixture model to analyse spread and abundance of the Western Corn Rootworm in Austria;2019;Agricultural Systems;https://doi.org/10.1016/j.agsy.2019.04.010;The Western Corn Rootworm (WCR, Diabrotica virgifera virgifera) has become one of the main maize pests in Europe. Our objective was to develop a model for mapping spread and abundance of WCR in Austria as a function of the natural spread, climatic conditions and the maize share in crop rotations. Records of a total of 5,338 WCR monitoring traps spread over Austria are available for the period 2002–2015, with 2,520 (47.2%) showing zero counts. We developed a spatial zero-inflated Poisson mixture (ZIP) model to relate WCR counts to climatic conditions and maize shares and account for zero-inflation, and spatial correlation in the count data. The model was validated by a 40-fold cross validation procedure and applied to Austrian cropland on a spatial resolution of 1?km. Results show that increased probabilities of WCR occurrence and abundance are associated with higher maize shares in crop rotations combined with a positive influence of higher winter temperatures and summer precipitation. The developed model provides a scientifically sound basis for analysing impacts of future climate change scenarios and crop rotational maize restrictions on the spread and abundance of WCR. It supports the development of WCR control measures.;;2013-2015;yes;major;"GSAA (agricultural parcel; plot)";"Our objective was to develop a model for mapping spread and abundance of WCR in Austria as a
function of the natural spread, climatic conditions and the maize share in crop rotations / In this article, we aim to assess the influence of both the maize share and climatic conditions on Western Corn Rootworm (WCR) spread and abundance. Thus, we further aim to provide a model for assessing whether maize restrictions in crop rotation can be an effective WCR control measure.";model input variable;determine the share of maize per grid cell (1x1km) as the share of maize has direct influence on the distribution and abundance of the western corn rootworm;yes;;no;no;crop type;grid cell;1x1km grid cell;no discussion;The model output is a worm presence/absence indicator.;
;['Perennes, Marie', 'Campagne, C Sylvie', 'Müller, Felix', 'Roche, Philip', 'Burkhard, Benjamin'];Refining the Tiered Approach for Mapping and Assessing Ecosystem Services at the Local Scale: A Case Study in a Rural Landscape in Northern Germany;2020;Land;http://dx.doi.org/10.3390/land9100348;Spatially explicit assessments of ecosystem services (ES) potentials are a key component in supporting a sustainable land use management. The ES matrix method is a commonly used approach as it allows for a comparably fast, comprehensible and accessible ES assessment. As it is often based on land use/land cover data (LULC) with no spatial variability, a main critique is that the results fail to assess spatial variability at landscape levels, which limits the reliability of the outputs for spatial planning applications. By using the case study area of Bornhöved in northern Germany, we analyzed three assessment methods that combine expert judgments, LULC data with different resolutions and ecosystem condition indicators, in order to find the required resolution and data for ES assessment and mapping at a local scale. To quantify map discrepancies, we used the structural similarity index (SSIM) and analyzed the differences in local mean, variance and covariance between the maps. We found that using different spatial resolutions led to a relatively small difference in the outcomes, in which regulation and maintenance services are more affected than the other services categories. For most regulation, maintenance and cultural ES, our results indicate that assessments based only on LULC proxies are not suitable for a local quantitative assessment of ES, as they cannot sufficiently cover the spatial heterogeneity of ES capacities that arise from different ecosystem conditions.;;2010;yes;major;"GSAA (agricultural parcel; plot)";How does a higher spatial resolution with more information on small landscape elements affect the results of an ecosystem service-matrix assessment on a local scale? Does the integration of ecosystem condition information add value to the ES assessment and can patterns between different ES and ES categories be detected? What  conclusions can be drawn for practical applications in landscape management?;create a land cover / land use product;"map ecosystem services using the land cover land use product; Each class has specific Ecosystem service values; these are then mapped.";yes;;yes;no;crop type, land use type;grid cell;;The difference between IACS/ATKIS and CORINE is discussed: The main differences between CLC and ATKIS/InVeKoS are found in the higher number of LULC classes and also in total surface covered by “arable land”, by landscape elements (LULC subclass which regroups the classes “hedgerows”, “tree rows”, “copse, thickets”, “single trees”, “field borders”) as well as by artificial surfaces.;;
64;['Palisson, Aurore', 'Courcoul, Aurélie', 'Durand, Benoit'];Analysis of the Spatial Organization of Pastures as a Contact Network, Implications for Potential Disease Spread and Biosecurity in Livestock, France, 2010;2017;PLoS One;http://dx.doi.org/10.1371/journal.pone.0169881;"The use of pastures is part of common herd management practices for livestock animals, but contagion between animals located on neighbouring pastures is one of the major modes of infectious disease transmission between herds. At the population level, this transmission is strongly constrained by the spatial organization of pastures. The aim of this study was to answer two questions: (i) is the spatial configuration of pastures favourable to the spread of infectious diseases in France? (ii) would biosecurity measures allow decreasing this vulnerability? Based on GIS data, the spatial organization of pastures was represented using networks. Nodes were the 3,159,787 pastures reported in 2010 by the French breeders to claim the Common Agricultural Policy subsidies. Links connected pastures when the distance between them was below a predefined threshold. Premises networks were obtained by aggregating into a single node all the pastures under the same ownership. Although the pastures network was very fragmented when the distance threshold was short (1.5 meters, relevant for a directly-transmitted disease), it was not the case when the distance threshold was larger (500 m, relevant for a vector-borne disease: 97% of the nodes in the largest connected component). The premises network was highly connected as the largest connected component always included more than 83% of the nodes, whatever the distance threshold. Percolation analyses were performed to model the population-level efficacy of biosecurity measures. Percolation thresholds varied according to the modelled biosecurity measures and to the distance threshold. They were globally high (e.g. &gt;17% of nodes had to be removed, mimicking the confinement of animals inside farm buildings, to obtain the disappearance of the large connected component). The network of pastures thus appeared vulnerable to the spread of diseases in France. Only a large acceptance of biosecurity measures by breeders would allow reducing this structural risk.";no;2010;no;major;"GSAA (agricultural parcel; plot)";(i) is the spatial configuration of pastures favourable to the spread of infectious diseases in France? (ii) if yes, which biosecurity measures would allow decreasing this vulnerability, and to what extent would they need to be adopted by breeders?;"The spatial organization of pastures was represented using networks, and network analysis methods were applied on pastures networks and premises networks; networks obtained  were described using network indicators … For a given buffer width, a network (termed below “pastures network”) was built with pastures as nodes and links for intersecting buffers. ... A second type of network (termed below “premises network”)
was built for each buffer width, by aggregating pastures per premise. These premises networks
represented contacts between premises because of contacts between their pastures: nodes were
premises and links represented contacts between at least one pasture of the two connected
premises. ";"Attribute data were the parcel usage reported by the farmer (e.g. crops, grasslands. . .), the parcel area and an anonymous farmer ID. Among their various usages, parcels dedicated to fodder crops, mountain pastures and permanent or temporary grasslands were considered as “pastures”. ...  For a given buffer width, a network (termed below “pastures network”) was built with pastures as nodes and links for intersecting buffers. ... A second type of network (termed below “premises network”)
was built for each buffer width, by aggregating pastures per premise.";yes;edges;yes;no;"land use type; crop type; farm ID";"network of plots; network of farms";;"This database
collects data provided by farmers to claim the Common Agricultural Policy (CAP) subsidies.
A CAP subsidy claim consists in a report made by a farmer specifying the geographic location
and border of each land parcel she/he owns, and the usage of this parcel for agriculture (using
a specific nomenclature) for a given year. Parts of these reports are controlled by local administrations. The number of such controls per member state is fixed by European legislation. Discrepancies between the control result and the farmer’s report may lead to penal consequences
for the farmer. CAP reports allow farmers receiving EU aids, but they are not mandatory. However, although data may not be comprehensive, it can reasonably be assumed that the vast
majority of farmers do claim CAP subsidies. We used a spatial layer in which each polygon represents a parcel. The accuracy of these
polygons is considered good, with errors below a few meters. ... our dataset did not allow identifying collective
pastures, shared by several premises, which would increase the connectivity between premises.";;
